,Restaurant Name,Cuisine Type,Location,Category,Food Name,Description/Ingredients,Price
12,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Mushroom Pizza (Medium),,770.00
13,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Mushroom Pizza (Small),,420.00
14,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Cheese Pizza (Large),,910.00
15,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Cheese Pizza (Medium),,770.00
16,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Cheese Pizza (Small),,770.00
17,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Double Cheese Pizza (Large),,980.00
18,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Double Cheese Pizza (Medium),,770.00
19,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Double Cheese Pizza (Small),,770.00
20,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Mari Special Non-Veg Pizza (Large),,"1,000.00"
21,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Mari Special Non-Veg Pizza (Medium),,840.00
22,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Mari Special Non-Veg Pizza (Small),,840.00
23,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Chicken Supreme Pizza (Large),,"1,050.00"
24,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Chicken Supreme Pizza (Medium),,770.00
25,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Chicken Supreme Pizza (Small),,560.00
26,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Porkies Pizza (Large),,"1,050.00"
27,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Porkies Pizza (Medium),,770.00
28,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Porkies Pizza (Small),,560.00
29,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Ham Pizza (Large),,"1,050.00"
30,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Ham Pizza (Medium),,770.00
31,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Ham Pizza (Small),,560.00
32,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Beacon Pizza (Large),,980.00
33,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Beacon Pizza (Medium),,700.00
34,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Beacon Pizza (Small),,490.00
35,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Peri Peri Pizza (Large),,"1,050.00"
36,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Peri Peri Pizza (Medium),,770.00
37,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Peri Peri Pizza (Small),,400.00
38,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Paneer Pizza (Large),,980.00
39,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Paneer Pizza (Medium),,770.00
40,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Paneer Pizza (Small),,490.00
41,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Tuna Pizza (Large),,"1,050.00"
42,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Tuna Pizza (Medium),,770.00
43,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Tuna Pizza (Small),,560.00
44,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Fish Tikka Pizza (Large),,"1,120.00"
45,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Fish Tikka Pizza (Medium),,840.00
46,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Fish Tikka Pizza (Small),,450.00
47,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Mari Special Veg Pizza (Large),,"1,120.00"
48,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Mari Special Veg Pizza (Medium),,840.00
49,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza","TUESDAY DAILY DELIGHTS
Offer Applicable Only On Tuesdays!",Mari Special Veg Pizza (Small),,450.00
50,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",MO:MO,Buff Steam Mo:Mo,,220.00
51,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",MO:MO,Buff Fried Mo:Mo,,250.00
52,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",MO:MO,Buff Chilli Mo:Mo,,260.00
53,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",MO:MO,Buff Kothey Mo:Mo,,250.00
54,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",MO:MO,Buff Jhol Mo:Mo,,162.00
55,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",MO:MO,Chicken Steam Mo:Mo,,150.00
56,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",MO:MO,Chicken Fried Mo:Mo,,260.00
57,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",MO:MO,Chicken Chilli Mo:Mo,,270.00
58,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",MO:MO,Chicken Kothey Mo:Mo,,260.00
59,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",MO:MO,Chicken Jhol Mo:Mo,,280.00
60,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",MO:MO,Veg Steam Mo:Mo,,180.00
61,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",MO:MO,Veg Chilly Mo:Mo,,210.00
62,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",MO:MO,Veg Fried Mo:Mo,,200.00
63,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",MO:MO,Veg Kothey Mo:Mo,,200.00
64,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",CHOWMEIN,Buff Chowmein,,220.00
65,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",CHOWMEIN,Chicken Chowmein,,250.00
66,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",CHOWMEIN,Egg Chowmein,,200.00
67,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",CHOWMEIN,Mix Chowmein,,180.00
68,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",CHOWMEIN,Veg Chowmein,,180.00
69,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",NON-VEG SNACKS,Chicken Drumstick,,350.00
70,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",NON-VEG SNACKS,Chicken Sausage Fried,,350.00
71,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",NON-VEG SNACKS,Pangra Chilly,,370.00
72,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",NON-VEG SNACKS,Pangra Fry,,350.00
73,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",NON-VEG SNACKS,Spicy Chicken,,450.00
74,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",NON-VEG SNACKS,Spicy Wings,,650.00
75,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",NON-VEG SNACKS,Chicken Sausage Chilly,,350.00
76,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",NON-VEG SNACKS,Crunchy Fried Chicken,,700.00
77,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",NON-VEG SNACKS,Crunchy Fried Wings (10 pcs),,"1,500.00"
78,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",NON-VEG SNACKS,Buffalo Hot Wings,,550.00
79,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",NON-VEG SNACKS,Buff Chilly,,350.00
80,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",NON-VEG SNACKS,Buff Meat Ball,,400.00
81,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",NON-VEG SNACKS,Buff Sausage Fried,,280.00
82,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",NON-VEG SNACKS,Buff Sausage Chilly,,350.00
83,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",NON-VEG SNACKS,Sukuti Sandeko,,450.00
84,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",VEG SNACKS,Cheese Ball,,550.00
85,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",VEG SNACKS,French Fry,,260.00
86,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",VEG SNACKS,Veg Tempura,,250.00
87,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",VEG SNACKS,Veg Pakoda,,320.00
88,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",VEG SNACKS,Peanuts Sandeko,,230.00
89,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",VEG SNACKS,Paneer Chilly,,350.00
90,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",VEG SNACKS,Onion Rings,,250.00
91,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",VEG SNACKS,Mushroom Chilly,,310.00
92,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",VEG SNACKS,Mushroom Fry,,280.00
93,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",VEG SNACKS,Mustang Aloo,,260.00
94,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",VEG SNACKS,Chips Chilly,,310.00
95,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",KATTI ROLL,DB Egg DB Chicken Roll,,350.00
96,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",KATTI ROLL,DB Egg Chicken Roll,,280.00
97,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",KATTI ROLL,Double Chicken Roll,,305.00
98,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",KATTI ROLL,Chicken Katti Roll,,240.00
99,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",KATTI ROLL,Paneer Katti Roll,,250.00
100,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",FRIED RICE,Veg Fried Rice,,190.00
101,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",FRIED RICE,Chicken Fried Rice,,260.00
102,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",FRIED RICE,Buff Fried Rice,,220.00
103,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",FRIED RICE,Mix Fried Rice,,330.00
104,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",BURGER,Veg Burger,,250.00
105,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",BURGER,Chicken Burger,,350.00
106,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",BURGER,Chicken Crunchy Burger,,390.00
107,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",BURGER,Chicken Spicy Burger,,390.00
108,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",BURGER,Ham Burger,,350.00
109,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",BURGER,Beacon Burger,,355.00
110,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",RAMEN,Spicy Buff Ramen Dry,,610.00
111,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",RAMEN,Spicy Chicken Ramen Dry,,670.00
112,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",RAMEN,Spicy Egg Ramen Dry,,580.00
113,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",RAMEN,Sausage Ramen,,610.00
114,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",RAMEN,Mix Ramen,,840.00
115,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",EXTRA TOPPING FOR RAMEN,Egg,,50.00
116,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",EXTRA TOPPING FOR RAMEN,Chicken Sausage,,70.00
117,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",EXTRA TOPPING FOR RAMEN,Buff Sausage,,65.00
118,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",EXTRA TOPPING FOR PIZZA,Cheese,,100.00
119,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",EXTRA TOPPING FOR PIZZA,Pepperoni,,100.00
120,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",EXTRA TOPPING FOR PIZZA,Paneer,,100.00
121,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",EXTRA TOPPING FOR PIZZA,Mushroom,,100.00
122,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",EXTRA TOPPING FOR PIZZA,Chicken,,100.00
123,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",EXTRA TOPPING FOR PIZZA,Ham,,100.00
124,The Mari Cafe,Multi Cuisine,"Putalisadak , New Plaza",EXTRA TOPPING FOR PIZZA,Beacon,,100.00
125,Fuchhey Restaurant,Multi Cuisine,Putalisadak,FUCHHEY BATUKO,Veg Fuchhey Batuko,served with rice or noodles,330.00
126,Fuchhey Restaurant,Multi Cuisine,Putalisadak,FUCHHEY BATUKO,Chicken Fuchhey Batuko,served with rice or noodles,390.00
127,Fuchhey Restaurant,Multi Cuisine,Putalisadak,FUCHHEY BATUKO,Veg with Egg Fuchhey Batuko,served with rice or noodles,360.00
128,Fuchhey Restaurant,Multi Cuisine,Putalisadak,FUCHHEY BATUKO,Ramen Batuko,served hot &amp; spicy with ramen noodle,480.00
129,Fuchhey Restaurant,Multi Cuisine,Putalisadak,FUCHHEY BATUKO,Ramen Batuko 2x,served with 2x hotness,490.00
130,Fuchhey Restaurant,Multi Cuisine,Putalisadak,STARTERS,Fuchhey Fries,tender and crispy potato fries with secret ingredient batter,300.00
131,Fuchhey Restaurant,Multi Cuisine,Putalisadak,STARTERS,Chicken Choila,,300.00
132,Fuchhey Restaurant,Multi Cuisine,Putalisadak,STARTERS,Chips Chilly,,280.00
133,Fuchhey Restaurant,Multi Cuisine,Putalisadak,STARTERS,Buff Chilly,,300.00
134,Fuchhey Restaurant,Multi Cuisine,Putalisadak,STARTERS,Chicken Chilly,,330.00
135,Fuchhey Restaurant,Multi Cuisine,Putalisadak,STARTERS,Peanut Sandeko,,200.00
136,Fuchhey Restaurant,Multi Cuisine,Putalisadak,STARTERS,Chicken Sandeko,,300.00
137,Fuchhey Restaurant,Multi Cuisine,Putalisadak,STARTERS,Buff Sausage Fried,,80.00
138,Fuchhey Restaurant,Multi Cuisine,Putalisadak,STARTERS,Chicken Sausage Fried,,90.00
139,Fuchhey Restaurant,Multi Cuisine,Putalisadak,STARTERS,Chicken Lollipop (Normal),,360.00
140,Fuchhey Restaurant,Multi Cuisine,Putalisadak,STARTERS,Chicken Lollipop (Spicy),,500.00
141,Fuchhey Restaurant,Multi Cuisine,Putalisadak,STARTERS,Grilled Chicken,spiced grilled chicken pc,300.00
142,Fuchhey Restaurant,Multi Cuisine,Putalisadak,FUCHHEY SUKUTI,Chicken Sukuti,"dried meat achar with mixed secret spices, served in plate",300.00
143,Fuchhey Restaurant,Multi Cuisine,Putalisadak,FUCHHEY SUKUTI,Buff Sukuti,"dried meat achar with mixed secret spices, served in plate",300.00
144,Fuchhey Restaurant,Multi Cuisine,Putalisadak,MO:MO,Veg Steam Mo:Mo,,200.00
145,Fuchhey Restaurant,Multi Cuisine,Putalisadak,MO:MO,Buff Steam Mo:Mo,,220.00
146,Fuchhey Restaurant,Multi Cuisine,Putalisadak,MO:MO,Chicken Steam Mo:Mo,,230.00
147,Fuchhey Restaurant,Multi Cuisine,Putalisadak,MO:MO,Veg Jhol Mo:Mo,,210.00
148,Fuchhey Restaurant,Multi Cuisine,Putalisadak,MO:MO,Buff Jhol Mo:Mo,,260.00
149,Fuchhey Restaurant,Multi Cuisine,Putalisadak,MO:MO,Chicken Jhol Mo:Mo,,270.00
150,Fuchhey Restaurant,Multi Cuisine,Putalisadak,MO:MO,Veg Kothey Mo:Mo,,200.00
151,Fuchhey Restaurant,Multi Cuisine,Putalisadak,MO:MO,Buff Kothey Mo:Mo,,260.00
152,Fuchhey Restaurant,Multi Cuisine,Putalisadak,MO:MO,Chicken Kothey Mo:Mo,,270.00
153,Fuchhey Restaurant,Multi Cuisine,Putalisadak,MO:MO,Veg Fried Mo:Mo,,210.00
154,Fuchhey Restaurant,Multi Cuisine,Putalisadak,MO:MO,Buff Fried Mo:Mo,,280.00
155,Fuchhey Restaurant,Multi Cuisine,Putalisadak,MO:MO,Chicken Fried Mo:Mo,,290.00
156,Fuchhey Restaurant,Multi Cuisine,Putalisadak,MO:MO,Veg Sandeko Mo:Mo,,210.00
157,Fuchhey Restaurant,Multi Cuisine,Putalisadak,MO:MO,Buff Sandeko Mo:Mo,,290.00
158,Fuchhey Restaurant,Multi Cuisine,Putalisadak,MO:MO,Chicken Sandeko Mo:Mo,,290.00
159,Fuchhey Restaurant,Multi Cuisine,Putalisadak,MO:MO,Veg C Mo:Mo Steam,,220.00
160,Fuchhey Restaurant,Multi Cuisine,Putalisadak,MO:MO,Buff C Mo:Mo Steam,,300.00
161,Fuchhey Restaurant,Multi Cuisine,Putalisadak,MO:MO,Chicken C Mo:Mo Steam,,300.00
162,Fuchhey Restaurant,Multi Cuisine,Putalisadak,MO:MO,Veg C Mo:Mo Fried,,230.00
163,Fuchhey Restaurant,Multi Cuisine,Putalisadak,MO:MO,Buff C Mo:Mo Fried,,310.00
164,Fuchhey Restaurant,Multi Cuisine,Putalisadak,MO:MO,Chicken C Mo:Mo Fried,,320.00
165,Fuchhey Restaurant,Multi Cuisine,Putalisadak,MO:MO,Mo:Mo Platter,,325.00
166,Fuchhey Restaurant,Multi Cuisine,Putalisadak,CHOWMEIN / FRIED RICE / THUKPA,Veg Chowmein,,200.00
167,Fuchhey Restaurant,Multi Cuisine,Putalisadak,CHOWMEIN / FRIED RICE / THUKPA,Egg Chowmein,,220.00
168,Fuchhey Restaurant,Multi Cuisine,Putalisadak,CHOWMEIN / FRIED RICE / THUKPA,Buff Chowmein,,225.00
169,Fuchhey Restaurant,Multi Cuisine,Putalisadak,CHOWMEIN / FRIED RICE / THUKPA,Chicken Chowmein,,230.00
170,Fuchhey Restaurant,Multi Cuisine,Putalisadak,CHOWMEIN / FRIED RICE / THUKPA,Mixed Chowmein,,270.00
171,Fuchhey Restaurant,Multi Cuisine,Putalisadak,CHOWMEIN / FRIED RICE / THUKPA,Veg Fried Rice,,200.00
172,Fuchhey Restaurant,Multi Cuisine,Putalisadak,CHOWMEIN / FRIED RICE / THUKPA,Egg Fried Rice,,220.00
173,Fuchhey Restaurant,Multi Cuisine,Putalisadak,CHOWMEIN / FRIED RICE / THUKPA,Buff Fried Rice,,225.00
174,Fuchhey Restaurant,Multi Cuisine,Putalisadak,CHOWMEIN / FRIED RICE / THUKPA,Chicken Fried Rice,,230.00
175,Fuchhey Restaurant,Multi Cuisine,Putalisadak,CHOWMEIN / FRIED RICE / THUKPA,Mixed Fried Rice,,270.00
176,Fuchhey Restaurant,Multi Cuisine,Putalisadak,CHOWMEIN / FRIED RICE / THUKPA,Veg Thukpa,,200.00
177,Fuchhey Restaurant,Multi Cuisine,Putalisadak,CHOWMEIN / FRIED RICE / THUKPA,Egg Thukpa,,220.00
178,Fuchhey Restaurant,Multi Cuisine,Putalisadak,CHOWMEIN / FRIED RICE / THUKPA,Buff Thukpa,,225.00
179,Fuchhey Restaurant,Multi Cuisine,Putalisadak,CHOWMEIN / FRIED RICE / THUKPA,Chicken Thukpa,,230.00
180,Fuchhey Restaurant,Multi Cuisine,Putalisadak,CHOWMEIN / FRIED RICE / THUKPA,Mixed Thukpa,,270.00
181,Fuchhey Restaurant,Multi Cuisine,Putalisadak,COMBO,Pizza Combo,"this combo includes 2 pcs of chicken lolli, 5 pcs of chicken momo, fuchhey fries, a chicken burger and a mini chicken pizza",650.00
182,Fuchhey Restaurant,Multi Cuisine,Putalisadak,COMBO,Fuchhey Burger Combo,"this combo includes 2 pcs of chicken lolli, 4 pcs of chicken momo, 2 mini burgers, 2 chicken sausages and 4 onion rings",580.00
183,Fuchhey Restaurant,Multi Cuisine,Putalisadak,"MIX MAX COMBO
Customize Your Own Plate, (Choose At Least Three Items)",Alu Dam,choose at least three items,80.00
184,Fuchhey Restaurant,Multi Cuisine,Putalisadak,"MIX MAX COMBO
Customize Your Own Plate, (Choose At Least Three Items)",Fuchhey Fries,choose at least three items,165.00
185,Fuchhey Restaurant,Multi Cuisine,Putalisadak,"MIX MAX COMBO
Customize Your Own Plate, (Choose At Least Three Items)",Buff Sukuti,choose at least three items,130.00
186,Fuchhey Restaurant,Multi Cuisine,Putalisadak,"MIX MAX COMBO
Customize Your Own Plate, (Choose At Least Three Items)",Chicken Sukuti,choose at least three items,130.00
187,Fuchhey Restaurant,Multi Cuisine,Putalisadak,"MIX MAX COMBO
Customize Your Own Plate, (Choose At Least Three Items)",Veg Mo:Mo,choose at least three items,100.00
188,Fuchhey Restaurant,Multi Cuisine,Putalisadak,"MIX MAX COMBO
Customize Your Own Plate, (Choose At Least Three Items)",Buff Mo:Mo,choose at least three items,110.00
189,Fuchhey Restaurant,Multi Cuisine,Putalisadak,"MIX MAX COMBO
Customize Your Own Plate, (Choose At Least Three Items)",Chicken Mo:Mo,choose at least three items,115.00
190,Fuchhey Restaurant,Multi Cuisine,Putalisadak,"MIX MAX COMBO
Customize Your Own Plate, (Choose At Least Three Items)",Veg Chowmein,choose at least three items,100.00
191,Fuchhey Restaurant,Multi Cuisine,Putalisadak,"MIX MAX COMBO
Customize Your Own Plate, (Choose At Least Three Items)",Buff Chowmein,choose at least three items,110.00
192,Fuchhey Restaurant,Multi Cuisine,Putalisadak,"MIX MAX COMBO
Customize Your Own Plate, (Choose At Least Three Items)",Chicken Chowmein,choose at least three items,115.00
193,Fuchhey Restaurant,Multi Cuisine,Putalisadak,"MIX MAX COMBO
Customize Your Own Plate, (Choose At Least Three Items)",Veg Fried Rice,choose at least three items,100.00
194,Fuchhey Restaurant,Multi Cuisine,Putalisadak,"MIX MAX COMBO
Customize Your Own Plate, (Choose At Least Three Items)",Buff Fried Rice,choose at least three items,110.00
195,Fuchhey Restaurant,Multi Cuisine,Putalisadak,"MIX MAX COMBO
Customize Your Own Plate, (Choose At Least Three Items)",Chicken Fried Rice,choose at least three items,115.00
196,Fuchhey Restaurant,Multi Cuisine,Putalisadak,SOUP,Chicken Soup,,200.00
197,Fuchhey Restaurant,Multi Cuisine,Putalisadak,SOUP,Mushroom Soup,,180.00
198,Fuchhey Restaurant,Multi Cuisine,Putalisadak,KATTI WRAP,Veg Katti Wrap,,180.00
