Price,Bedrooms,Bathrooms,SqFt,City,State,Year_Built,Type,Garage,Lot_Area
1723996,4,2,2059,Adelaide,SA,2023,House,2,5982
1631604,2,1,1697,Sydney,NSW,1988,House,1,3798
1042845,3,1,1069,Perth,WA,1984,Townhouse,2,1780
1922722,2,2,2041,Sydney,NSW,1994,House,2,4489
1330372,5,2,1362,Brisbane,QLD,1988,Apartment,1,3180
1744025,4,3,2284,Brisbane,QLD,2007,Apartment,0,5590
1266915,3,1,1448,Brisbane,QLD,1992,Apartment,2,4321
2307775,4,2,2929,Melbourne,VIC,2003,Apartment,2,8427
1724291,3,4,1530,Sydney,NSW,1989,House,0,3204
1936072,5,2,1806,Melbourne,VIC,2021,House,1,3017
2156930,4,3,2488,Sydney,NSW,2001,Townhouse,0,4533
1636349,5,1,1261,Melbourne,VIC,2018,House,2,2221
1912826,3,2,2136,Melbourne,VIC,2001,House,2,4345
2008735,2,3,2784,Brisbane,QLD,2016,House,1,7837
1247177,3,2,1035,Perth,WA,2018,House,1,2233
1575445,2,3,2110,Adelaide,SA,1999,Townhouse,2,4962
1800370,3,2,2155,Melbourne,VIC,1989,House,0,3813
2064429,3,2,2469,Sydney,NSW,1989,Apartment,2,5528
1281899,3,2,1257,Brisbane,QLD,2005,House,1,3535
1346687,1,2,1207,Melbourne,VIC,2004,House,1,3212
1921313,2,1,2313,Melbourne,VIC,2007,House,1,3751
1945688,3,2,2178,Melbourne,VIC,1992,House,1,6083
1782826,5,2,2150,Brisbane,QLD,1994,House,2,4108
1669463,3,2,2207,Perth,WA,1985,House,2,5516
1421622,3,3,1591,Adelaide,SA,1991,House,2,2737
1498472,4,2,2139,Adelaide,SA,1998,Apartment,0,5373
1796347,3,4,2175,Perth,WA,2011,House,1,3380
1344956,3,2,1571,Perth,WA,1990,House,1,3772
2443581,3,2,3119,Sydney,NSW,2017,Apartment,2,7701
1783682,3,3,2284,Perth,WA,2012,House,1,4264
1728126,5,2,1285,Sydney,NSW,1981,House,2,3734
1738831,2,2,2393,Brisbane,QLD,1994,Townhouse,2,3755
1587182,3,1,1415,Sydney,NSW,2015,Apartment,1,4015
1808993,1,2,2472,Melbourne,VIC,1984,Apartment,2,5124
2197113,3,2,2695,Sydney,NSW,1994,House,2,6928
1829111,4,4,1507,Melbourne,VIC,2022,Townhouse,2,3734
2013741,3,2,2578,Melbourne,VIC,1989,House,1,4517
2013321,2,3,2247,Sydney,NSW,1996,Townhouse,2,4447
1752437,3,2,2493,Perth,WA,2013,Townhouse,0,5720
1974915,1,2,3138,Perth,WA,2003,House,1,8691
1472749,2,2,1852,Brisbane,QLD,1989,House,1,5432
1417135,4,3,1547,Perth,WA,2009,Apartment,0,2369
1524693,4,3,1466,Brisbane,QLD,1982,House,2,2974
1417189,5,1,1510,Adelaide,SA,2016,House,1,3779
1698493,4,2,1953,Melbourne,VIC,1982,Townhouse,1,4477
2026239,3,2,2204,Melbourne,VIC,2019,House,1,6425
1429366,2,1,2166,Perth,WA,1984,Townhouse,2,3304
2077075,4,2,2496,Melbourne,VIC,2007,Apartment,2,5383
1970308,4,3,2007,Sydney,NSW,2023,Apartment,0,5025
2114514,4,2,2872,Brisbane,QLD,1993,House,2,5245
2001521,3,3,1841,Sydney,NSW,2018,House,1,4766
2476263,3,2,3632,Melbourne,VIC,1990,Townhouse,1,5890
2144788,4,2,2375,Sydney,NSW,1987,House,2,5170
1355106,4,1,1485,Perth,WA,2016,Apartment,2,3735
1270968,5,3,1357,Adelaide,SA,1987,Apartment,2,2579
2002746,2,3,2289,Sydney,NSW,1991,House,1,3687
1745317,3,2,1865,Sydney,NSW,1994,Apartment,1,5477
2083072,3,1,2428,Sydney,NSW,1998,House,1,6971
1880365,4,2,2283,Brisbane,QLD,2007,House,1,6599
1690774,2,1,1956,Melbourne,VIC,1986,House,1,5805
1525984,2,2,1491,Melbourne,VIC,2019,Apartment,1,2651
1621754,5,3,1091,Sydney,NSW,1986,Townhouse,1,1894
1584114,1,1,1732,Melbourne,VIC,2009,House,1,2687
2164553,4,3,2513,Melbourne,VIC,1997,House,1,7133
1706802,3,2,2128,Brisbane,QLD,2003,House,2,5596
1609604,4,2,1252,Sydney,NSW,1985,House,1,3068
1716484,3,4,2103,Brisbane,QLD,1983,House,2,6083
1834373,5,1,2231,Melbourne,VIC,1982,Townhouse,0,5271
1708304,5,4,1469,Melbourne,VIC,1985,Townhouse,1,2490
1718295,1,1,2092,Melbourne,VIC,2005,House,1,3693
1495838,2,2,2034,Brisbane,QLD,2023,Apartment,0,3455
1470684,3,3,1314,Melbourne,VIC,2017,Apartment,1,2577
1709775,3,4,2214,Perth,WA,1990,Townhouse,2,4582
2157758,4,2,2336,Sydney,NSW,2008,House,1,6297
2125100,3,2,2649,Sydney,NSW,1999,Apartment,1,4734
2192291,3,3,2632,Sydney,NSW,1989,Townhouse,1,6812
1433794,2,3,1173,Melbourne,VIC,2005,Townhouse,2,2624
1693243,4,1,1437,Sydney,NSW,2006,House,1,4311
2238865,5,3,2309,Sydney,NSW,1993,House,2,6153
1911612,3,2,2308,Melbourne,VIC,2015,Apartment,1,6817
1770093,3,2,2309,Brisbane,QLD,1991,House,1,4649
2544822,2,2,4311,Brisbane,QLD,2002,House,0,7263
1965279,3,2,2342,Melbourne,VIC,2000,House,2,5291
2243878,3,4,2681,Melbourne,VIC,1987,House,2,4521
1916852,2,2,2572,Brisbane,QLD,2018,House,1,5758
2039059,3,4,2390,Melbourne,VIC,1988,House,0,4554
1474134,3,1,1810,Brisbane,QLD,2003,House,1,4050
1811764,3,3,2455,Adelaide,SA,2010,House,1,7180
1435003,3,3,1536,Perth,WA,2004,House,1,2970
1595531,1,2,1857,Melbourne,VIC,1996,Apartment,2,5555
1835915,4,2,1708,Melbourne,VIC,2021,House,2,3150
1683313,4,2,2049,Brisbane,QLD,2008,Apartment,1,3713
2478570,3,3,3388,Melbourne,VIC,1982,House,2,7852
1036058,2,3,879,Brisbane,QLD,2000,Apartment,2,2430
1934935,4,1,2411,Melbourne,VIC,1987,Townhouse,1,6329
1251752,5,3,1032,Perth,WA,1993,House,1,2668
1958297,3,2,1716,Sydney,NSW,2018,House,2,3303
2122995,3,2,2653,Sydney,NSW,1995,Apartment,1,4069
1520007,2,3,2038,Brisbane,QLD,1997,Apartment,1,3552
1579447,3,2,1353,Melbourne,VIC,2010,House,2,2739
1631202,2,3,1570,Sydney,NSW,1990,Townhouse,1,4645
2133651,3,2,2407,Melbourne,VIC,2017,House,2,6933
1568325,3,1,1561,Sydney,NSW,1999,Apartment,1,2812
1614793,3,2,2129,Brisbane,QLD,1983,House,1,5513
1770433,3,1,2027,Melbourne,VIC,1999,House,0,4801
1802585,3,3,1609,Sydney,NSW,2010,House,1,2533
2412884,3,2,3286,Melbourne,VIC,1999,House,1,6761
1903516,1,2,2380,Sydney,NSW,1990,Townhouse,1,5306
871518,2,1,800,Brisbane,QLD,1980,Apartment,2,2001
2022285,4,2,2111,Sydney,NSW,2023,Apartment,1,4102
1253801,2,3,1602,Perth,WA,1997,Townhouse,0,4649
2218524,4,1,2511,Sydney,NSW,2018,House,1,5469
1797472,5,2,1524,Melbourne,VIC,2023,House,1,2855
1639146,3,4,1931,Brisbane,QLD,2012,Townhouse,0,3813
2017369,3,2,2302,Sydney,NSW,2015,House,0,6051
2102780,3,3,2519,Sydney,NSW,1997,Apartment,2,6198
1570732,4,1,1279,Melbourne,VIC,2010,House,0,3344
1963449,5,2,1799,Sydney,NSW,2014,Apartment,2,3487
1859379,4,3,1715,Melbourne,VIC,2018,House,1,3413
1396880,2,3,1608,Brisbane,QLD,2017,Apartment,1,3368
2349213,3,2,3059,Sydney,NSW,1994,Townhouse,0,5454
1778123,3,2,2242,Melbourne,VIC,1985,Apartment,2,5689
1113981,3,2,1243,Adelaide,SA,1987,House,0,2479
1704576,1,1,2550,Perth,WA,2019,House,1,5074
2533260,2,3,3273,Sydney,NSW,2001,House,1,6232
2165980,4,2,2619,Sydney,NSW,1980,Apartment,2,5708
1500694,3,2,1088,Melbourne,VIC,1992,House,2,2892
1822684,3,3,1709,Sydney,NSW,2003,Townhouse,1,4706
2158795,3,2,2760,Sydney,NSW,2000,Apartment,1,7471
1837867,4,2,1575,Sydney,NSW,2022,Townhouse,2,3831
2169376,4,3,2266,Sydney,NSW,1983,House,2,4352
2030735,3,3,2464,Melbourne,VIC,1986,Townhouse,1,6414
1411475,2,2,1443,Melbourne,VIC,1991,Apartment,2,2251
1747607,3,1,1964,Sydney,NSW,1992,Apartment,1,5298
1380218,5,2,800,Melbourne,VIC,2023,House,0,2136
1489622,3,2,1385,Melbourne,VIC,1995,House,0,3470
1568574,3,2,1848,Brisbane,QLD,1985,House,1,3044
1267662,3,3,1251,Adelaide,SA,1993,House,1,3748
2083230,3,4,2979,Adelaide,SA,2010,House,0,7849
1592235,4,3,1141,Melbourne,VIC,2015,Townhouse,1,2971
1501339,3,2,1735,Perth,WA,2016,House,1,2770
1973337,2,3,2078,Sydney,NSW,2020,House,0,4360
2152753,2,2,2864,Melbourne,VIC,2014,House,0,4667
1158953,3,1,1138,Brisbane,QLD,1989,Townhouse,2,2324
2289646,5,1,2697,Melbourne,VIC,1996,House,1,6355
2006763,3,2,2006,Sydney,NSW,2021,House,1,5653
1817761,4,4,1411,Sydney,NSW,2009,House,1,2715
1990675,4,2,2277,Melbourne,VIC,2023,Apartment,2,5545
1615612,3,2,2119,Brisbane,QLD,1986,House,1,3702
1314590,1,4,1639,Adelaide,SA,1997,House,1,3330
1845825,2,1,2041,Sydney,NSW,1998,House,2,5964
1524535,4,3,1768,Adelaide,SA,1994,House,1,4636
1911852,2,2,2068,Sydney,NSW,2018,House,1,4795
1642473,3,1,2397,Adelaide,SA,2023,Apartment,1,4500
2080863,3,4,2951,Perth,WA,2001,Apartment,2,6108
1641158,4,1,1257,Sydney,NSW,2018,House,1,2181
2559260,2,2,3279,Sydney,NSW,2021,House,2,6658
1449903,3,2,828,Sydney,NSW,2009,House,1,1430
1502368,3,1,1908,Adelaide,SA,1999,House,2,5140
1975151,3,1,2352,Melbourne,VIC,2011,House,1,3814
1650435,4,1,2168,Brisbane,QLD,2021,Apartment,1,3869
1667104,2,1,1626,Sydney,NSW,2004,House,1,4125
1445110,4,3,1875,Adelaide,SA,2002,Apartment,0,5351
1753085,3,2,1704,Sydney,NSW,1984,House,1,5022
1841127,3,2,1646,Sydney,NSW,2020,House,2,4534
2040853,3,2,2509,Melbourne,VIC,2009,House,1,4560
1979913,3,4,2214,Melbourne,VIC,2018,House,0,4270
1688295,2,4,1584,Sydney,NSW,2006,Townhouse,1,4445
1991219,3,3,2539,Melbourne,VIC,2021,Apartment,0,7197
2181709,3,3,2184,Sydney,NSW,2016,House,2,5375
1875006,3,2,2487,Melbourne,VIC,1986,Apartment,0,4901
1953196,3,2,2377,Melbourne,VIC,1984,House,1,4365
1697888,5,2,1502,Sydney,NSW,1994,Apartment,1,4174
1624350,3,2,1663,Melbourne,VIC,2021,Townhouse,1,3008
1644319,2,2,2448,Brisbane,QLD,1987,Apartment,1,6103
2065591,3,2,2366,Sydney,NSW,1988,House,1,6984
1895731,4,4,1987,Melbourne,VIC,1990,Apartment,2,5083
1731636,4,3,2070,Brisbane,QLD,2001,Townhouse,2,3905
2333204,3,2,2766,Sydney,NSW,2013,House,2,5322
1877969,4,3,1645,Melbourne,VIC,2014,House,2,2696
1990692,3,2,2328,Sydney,NSW,1992,House,0,5888
1787294,3,1,1878,Sydney,NSW,1990,House,0,4278
1752211,4,2,1869,Brisbane,QLD,2011,House,2,3383
2423236,4,2,2659,Sydney,NSW,2021,House,2,4897
1987720,3,1,2495,Melbourne,VIC,1994,House,1,3776
2007857,4,3,2488,Brisbane,QLD,2017,House,1,7383
2065429,2,2,2783,Sydney,NSW,1980,Apartment,1,7631
1925053,4,2,2012,Melbourne,VIC,2003,House,1,4208
1713774,3,1,2409,Adelaide,SA,2022,Townhouse,1,7032
1749824,2,1,1813,Melbourne,VIC,2019,House,2,4563
1919554,3,3,2194,Sydney,NSW,2001,Apartment,1,5765
1713033,3,2,1921,Melbourne,VIC,1982,House,1,4843
2030651,3,4,2058,Sydney,NSW,1993,House,1,5423
2123276,3,4,2357,Sydney,NSW,1981,House,0,4140
1300829,2,2,1509,Perth,WA,2011,Apartment,1,3536
2488109,3,2,3255,Sydney,NSW,2017,Apartment,2,9030
1704416,3,3,1396,Sydney,NSW,2012,Apartment,2,2135
1658740,3,4,1271,Melbourne,VIC,2021,House,2,2142
1776583,3,2,2694,Adelaide,SA,1985,House,1,5035
2324412,4,3,2474,Sydney,NSW,2020,House,1,4806
2240940,4,3,2374,Sydney,NSW,2018,House,2,4212
2079042,4,2,2377,Melbourne,VIC,2004,House,1,5791
1894328,3,2,1992,Melbourne,VIC,2013,House,2,3867
1709103,4,3,1461,Melbourne,VIC,1990,House,2,2539
1517019,2,2,2045,Adelaide,SA,2016,House,1,5847
1712863,2,1,1593,Sydney,NSW,2020,House,1,4052
2083034,3,2,2585,Sydney,NSW,1986,Apartment,1,4831
1885664,4,1,1911,Sydney,NSW,2001,House,0,3902
1422576,3,2,1504,Brisbane,QLD,2018,Townhouse,1,3929
1807300,2,4,1807,Melbourne,VIC,1989,House,2,4854
1620972,2,1,2247,Perth,WA,2000,House,2,3966
1279655,4,2,1661,Adelaide,SA,1985,Apartment,1,4827
1615716,3,2,1506,Sydney,NSW,1980,Townhouse,1,4034
1508253,3,2,2146,Adelaide,SA,2013,Apartment,1,5977
1890163,3,2,2146,Sydney,NSW,1993,Apartment,1,3683
1652348,3,2,1695,Melbourne,VIC,2015,Apartment,1,2908
1339321,3,1,1717,Brisbane,QLD,2006,Apartment,1,3362
1528330,3,2,2139,Brisbane,QLD,1988,Apartment,1,3416
1169327,4,2,1131,Brisbane,QLD,1985,Townhouse,0,1851
1486311,3,2,1155,Melbourne,VIC,2010,House,1,1981
1374800,3,4,1568,Adelaide,SA,1996,Townhouse,1,4030
1511915,1,2,1871,Brisbane,QLD,2022,House,1,2892
1894913,3,1,2186,Melbourne,VIC,2015,Townhouse,1,3552
1996015,3,3,2885,Adelaide,SA,2000,House,1,8414
1859909,3,2,2514,Adelaide,SA,2006,House,2,4087
1758914,2,2,1904,Melbourne,VIC,2020,Townhouse,2,4391
1735825,4,2,1988,Brisbane,QLD,2007,House,1,4899
1184857,3,2,1398,Perth,WA,1995,Apartment,1,4108
1617125,3,3,1988,Perth,WA,2014,House,0,5667
2020375,4,4,1826,Sydney,NSW,2015,House,1,3947
1752780,3,2,2193,Brisbane,QLD,2014,Townhouse,2,6390
1329937,4,2,1503,Adelaide,SA,1998,House,1,3230
1951724,3,2,2311,Sydney,NSW,2000,Apartment,1,5790
2139227,3,4,2919,Brisbane,QLD,2012,House,1,5516
1849733,4,4,1934,Melbourne,VIC,2002,Apartment,2,4749
1880975,3,1,2241,Sydney,NSW,1985,Apartment,2,5170
1937925,3,1,2414,Sydney,NSW,2011,Apartment,0,5818
1574579,4,2,1759,Brisbane,QLD,2001,Townhouse,2,4440
1744964,3,1,2134,Melbourne,VIC,1982,House,0,3757
1806755,3,2,2007,Melbourne,VIC,2014,Apartment,1,3918
1709162,3,1,2058,Melbourne,VIC,1995,Apartment,0,5361
1738742,4,2,1536,Melbourne,VIC,2021,House,0,2681
2129518,5,4,2014,Sydney,NSW,2004,House,0,4062
1812646,3,4,2298,Brisbane,QLD,1996,Apartment,2,5746
2055200,3,2,2870,Brisbane,QLD,2018,Apartment,2,8343
2229908,5,2,2575,Sydney,NSW,1992,House,0,4154
2449211,2,3,3291,Melbourne,VIC,2007,House,1,7488
1382007,3,1,1539,Brisbane,QLD,1990,House,1,2498
2194997,4,2,2523,Sydney,NSW,1989,House,1,5220
1797562,4,2,2110,Perth,WA,2018,House,2,3720
2511620,4,2,3313,Melbourne,VIC,2003,House,0,8199
1744008,3,2,1515,Sydney,NSW,2017,House,1,3994
1434200,2,1,1496,Melbourne,VIC,2003,Townhouse,1,2799
1580843,3,2,1640,Melbourne,VIC,2012,Apartment,0,4214
1351417,3,2,800,Sydney,NSW,1996,House,1,1736
1894839,3,2,1684,Sydney,NSW,2023,House,2,3243
1683468,4,1,1544,Sydney,NSW,2015,Apartment,2,3529
1705817,2,3,2090,Melbourne,VIC,2014,Apartment,0,4325
1884484,4,2,2205,Melbourne,VIC,1985,Apartment,2,4068
1971568,3,2,3125,Perth,WA,1995,Apartment,2,8237
2079966,3,2,2570,Melbourne,VIC,2007,House,1,6930
1504951,2,2,1653,Brisbane,QLD,2020,House,1,4466
1235521,3,1,1460,Brisbane,QLD,2011,Apartment,0,3028
1966709,2,3,2295,Melbourne,VIC,2005,House,1,4026
1302372,5,1,1207,Brisbane,QLD,1990,House,1,3334
2392655,4,1,3098,Melbourne,VIC,2004,House,1,6178
2255602,3,3,2707,Melbourne,VIC,2010,House,0,7099
1721518,3,2,1718,Melbourne,VIC,2000,House,1,4684
1104477,5,2,972,Perth,WA,1982,House,1,2578
2167509,3,2,2812,Melbourne,VIC,1991,House,1,5862
1764378,2,2,1931,Melbourne,VIC,2019,House,1,5614
2260742,3,3,2742,Sydney,NSW,2020,Townhouse,0,6829
1445936,5,2,1043,Melbourne,VIC,2004,Apartment,1,2466
1539341,1,2,1640,Sydney,NSW,1996,Apartment,1,4177
1631306,3,3,2003,Adelaide,SA,2017,House,2,3139
1986917,5,2,2028,Melbourne,VIC,2015,House,1,4230
1787926,2,2,1729,Sydney,NSW,2015,House,0,4881
2039849,2,2,2373,Sydney,NSW,1998,House,0,4134
1751692,3,2,1359,Sydney,NSW,2023,House,1,2884
1914026,4,4,1914,Sydney,NSW,1981,House,0,4035
1639923,3,3,2072,Perth,WA,1996,House,1,4214
1774071,5,1,2308,Perth,WA,2009,Townhouse,2,5410
1559135,3,1,2426,Adelaide,SA,1989,Apartment,1,7267
1249514,2,1,1325,Brisbane,QLD,2014,House,1,2496
1290362,5,2,1079,Brisbane,QLD,2015,Apartment,2,2760
1905353,3,1,2766,Adelaide,SA,2012,House,1,7295
1402379,3,2,2199,Adelaide,SA,1980,Apartment,0,5227
1449242,3,3,1550,Perth,WA,1997,House,1,2553
2019506,3,3,2930,Perth,WA,1983,House,2,6912
1582848,2,2,2069,Brisbane,QLD,2006,Apartment,2,6063
2090704,1,2,2707,Sydney,NSW,2004,House,0,5450
1778041,3,2,2040,Melbourne,VIC,2007,Townhouse,1,5018
2373951,4,3,3236,Brisbane,QLD,2001,House,2,9512
2295717,3,3,3053,Melbourne,VIC,2021,Apartment,1,8234
1788066,5,4,1850,Perth,WA,2004,House,2,4686
1791344,3,2,2582,Perth,WA,1996,House,1,7637
1971907,3,2,2387,Melbourne,VIC,2023,Apartment,2,4191
2148683,2,1,2821,Sydney,NSW,1991,Apartment,2,7501
1358664,2,2,1421,Melbourne,VIC,1995,Apartment,0,2998
2160060,3,2,2411,Sydney,NSW,2016,House,1,4921
2108095,4,2,2635,Melbourne,VIC,1995,House,0,6010
1239799,5,2,944,Brisbane,QLD,1996,House,1,1464
1778010,5,2,1290,Sydney,NSW,2010,House,1,2539
1264612,3,1,800,Sydney,NSW,1994,Apartment,1,1399
1767786,4,1,1838,Melbourne,VIC,1992,House,1,3139
1749056,3,1,2430,Brisbane,QLD,2019,Apartment,1,4875
2274220,2,1,2901,Sydney,NSW,2006,House,2,7843
1629055,4,1,2044,Perth,WA,2000,House,1,3683
2311195,3,2,2977,Melbourne,VIC,1981,House,2,6838
1410394,2,2,1171,Sydney,NSW,1987,House,0,3073
1543860,3,4,977,Melbourne,VIC,2021,House,1,1820
1513809,3,2,1966,Adelaide,SA,1986,House,1,5676
